f00_lang_qn,wave,f01_transit,f01_shop,f01_time_ff,f01_time_al,f01_eat_pic,f01_eat_caf,f01_sport,f01_pet,f01_sight,f01_cultural,f01_political,f01_parking,f01_other,f02_time_level,f02_time,f03_rel_level,f03_rel,f04_walk,f04_bike,f04_scooter,f04_bus,f04_tram,f04_train,f04_car,f04_taxi,f04_other,f05_last_trans_level,f05_last_trans,f06_freq_level,f06_freq,f09_stranger_level,f09_stranger,f10_year,f12_adult,f12_kids,f13_occ1_level,f13_occ1,f14_mainlang1_level,f14_mainlang1,f15_country_grp_level,f15_country_grp,f16_edu_level,f16_edu,f17_rev_level,f17_rev,f18_gender_level,f18_gender,f19_alone,f19_partner,f19_kids,f19_friend,f19_other,f20_square,datetime,wday,timeslot,f23_interviewer,age,hh_size,group_size
de,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,0,0,0,0,1,walk,5,never,NA,NA,1951,2,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,6,>15'000,1,female,1,NA,NA,NA,1,Idaplatz,2021-06-26T13:57:00Z,7,12-14,I_3,70,2,2
de,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1984,2,NA,1,full-time,1,Swiss-German,1,Switzerland,6,university,4,9-12'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-08-31T08:49:00Z,3,8-10,I_8,37,2,1
de,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,20-29min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,3,several times a month,1,nobody,1998,1,NA,2,part-time,1,Swiss-German,1,Switzerland,4,high school,2,3-6'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-08-31T13:20:00Z,3,12-14,I_6,23,1,1
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,1,1,0,0,0,1,walk,4,several times a year,1,nobody,1989,2,NA,2,part-time,1,Swiss-German,5,Other,6,university,4,9-12'000,1,female,2,NA,NA,NA,NA,Idaplatz,2021-06-26T12:15:00Z,7,12-14,I_5,32,2,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,2,several times a week,1,nobody,1963,3,NA,1,full-time,2,Standard German,2,N/W/Central Europe,6,university,3,6-9'000,2,male,1,NA,NA,2,NA,Hallwylplatz,2021-06-15T12:40:00Z,3,12-14,I_5,58,3,3
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,0,1,0,0,0,0,0,0,0,2,bike,3,several times a month,1,nobody,1988,2,NA,1,full-time,2,Standard German,2,N/W/Central Europe,6,university,6,>15'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T09:50:00Z,3,8-10,I_5,33,2,1
de,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,60min+,5,visitor,1,0,0,0,0,0,0,0,0,NA,NA,4,several times a year,1,nobody,1955,1,NA,6,retired,1,Swiss-German,1,Switzerland,5,higher ed,1,<3'000,1,female,1,NA,NA,2,NA,Idaplatz,2021-09-02T16:15:00Z,5,16-18,I_8,66,1,3
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,1,(almost) everyday,1,nobody,1977,2,2,1,full-time,1,Swiss-German,2,N/W/Central Europe,6,university,NA,NA,2,male,2,NA,NA,NA,NA,Idaplatz,2021-06-26T12:30:00Z,7,12-14,I_2,44,4,1
de,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30-59min,3,employed nearby,0,1,0,0,0,0,0,0,0,2,bike,2,several times a week,2,"yes, familiar",1980,1,3,2,part-time,1,Swiss-German,1,Switzerland,6,university,2,3-6'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T13:00:00Z,3,12-14,I_5,41,4,1
en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,3,employed nearby,0,0,0,0,0,0,0,0,1,9,other,2,several times a week,3,"yes, known",1978,1,1,1,full-time,2,Standard German,2,N/W/Central Europe,6,university,6,>15'000,1,female,2,NA,NA,NA,NA,Hallwylplatz,2021-06-15T09:05:00Z,3,8-10,I_3,43,2,1
de,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,10-19min,3,employed nearby,1,0,0,0,0,0,0,0,0,1,walk,5,never,NA,NA,1973,2,NA,2,part-time,1,Swiss-German,1,Switzerland,6,university,3,6-9'000,2,male,1,NA,NA,2,NA,Hallwylplatz,2021-08-31T09:20:00Z,3,8-10,I_1,48,2,3
de,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,none/transit,5,visitor,1,0,0,0,0,0,0,0,0,1,walk,4,several times a year,1,nobody,1991,2,NA,2,part-time,1,Swiss-German,1,Switzerland,6,university,4,9-12'000,2,male,2,NA,NA,NA,NA,Hallwylplatz,2021-06-19T13:45:00Z,7,12-14,I_2,30,2,1
